Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1503062003,2,T7_CrossCatDump,activity_category,0.6667,2,Pemusiran
1504022003,3,T2_Ghost,avg_completion,0.6667,2,Jebak
1503072006,2,Unclassified,cost_per_unit,0.6667,2,Pematang Kabau
1503072007,2,T1_Markup,activity_category,0.6667,2,Bukit Suban
1503072008,4,T2_Ghost,cost_per_unit,0.6667,2,Mentawak Baru
1503072009,3,Unclassified,cost_per_unit,0.6667,2,Mentawak Ulu
1503082003,3,T1_Markup,avg_completion,0.6667,2,Pulau Lintang
1503082009,4,T7_CrossCatDump,swakelola_high_value,0.6667,2,Tanjunggagak
1503082012,2,T2_Ghost,avg_completion,0.6667,2,Dusun Dalam
1503082014,3,T1_Markup,avg_completion,0.6667,2,Suka Jadi
1503092002,2,T1_Markup,activity_category,0.6667,2,Bukittigo
1503092006,2,Unclassified,cost_deviation_by_category,0.6667,2,Perdamaian
1503022018,2,T1_Markup,activity_category,0.6667,2,Demang
1503022021,2,T1_Markup,avg_completion,0.6667,2,Temalang
1503032003,3,T7_CrossCatDump,activity_category,0.6667,2,Sungai Baung
1503032004,2,T1_Markup,activity_category,0.6667,2,Panti
1503032013,3,T1_Markup,activity_category,0.6667,2,Lidung
1504022010,3,T1_Markup,avg_completion,0.6667,2,Tanjung Marwo
1504032008,4,Unclassified,avg_completion,0.6667,2,Malapari
1504032009,3,T2_Ghost,cost_per_unit,0.6667,2,Napal Sisik
1504032010,4,T1_Markup,activity_category,0.6667,2,Rambahan
1504032015,2,T2_Ghost,activity_category,0.6667,2,Sungai Baung
1503092007,3,T1_Markup,activity_category,0.6667,2,Pasar Singkut
1503092012,4,T1_Markup,avg_completion,0.6667,2,Argo Sari
1503102001,3,T1_Markup,avg_completion,0.6667,2,Kampung Tujuh
1503102006,2,T1_Markup,activity_category,0.6667,2,Pemuncak
1503102009,2,T7_CrossCatDump,avg_completion,0.6667,2,Sungaikeramat
1504012002,3,T2_Ghost,avg_completion,0.6667,2,Sengkati Kecil
1504012003,4,T1_Markup,cost_per_unit,0.6667,2,Sengkati Gedang
1504012008,2,Unclassified,avg_completion,0.6667,2,Sungai Puar
1504012011,5,Unclassified,swakelola_high_value,0.6667,2,Teluk Melintang
1504012012,3,T1_Markup,avg_completion,0.6667,2,Bukit Harapan
